Response ID,Time Started,Date Submitted,Country,City,Region,Postal,City Name,State,Grade,Other:Grade,Gender,Ethnicity,How can a company know it made a profit?,"If you take out a loan from the bank, you must:","Your company made 10 of the same bracelet. Your total expenses, including bracelet materials, was $80. To make a profit how much should each bracelet cost?",What does a venture capitalist receive in exchange for investing in a company?,Why is it important to keep careful records of all your finances?,"If a company sells shares of stock, the company is:",What is the profit equation?,Money a company earns from selling a product or service is called:,The most important goal of marketing is to:,"When developing a product, during the manufacturing stage the company needs to:","When deciding on a price for a product, what factor(s) should a company consider?",,I make an effort to get along with my teammates.,I am confident speaking in front of others.,I think about the advantages and disadvantages of a choice before making a decision.,The things I learn in school will help me in the real world.,I am confident leading others.,I listen to other people's ideas while working in a group.,How I say something is just important as what I say.,I am able to motivate others.,I analyze the effects of my decisions.,I think that math is important.,I discuss my ideas with others.,I can come to a compromise with others when we disagree.,I develop different ways of solving a problem.,I take charge on work that needs to get done.,I think learning is fun.,I contribute and pitch in when working in a group.,What have you learned about teamwork from BizWorld?,What have you learned about leadership from BizWorld?,What advice would you give to a new student about to begin BizWorld?,What have you learned about managing money from BizWorld?,Score
3383,12/19/2014 10:26,12/19/2014 10:40,United States,Mansfield,OH,44901,Mansfield,Ohio,7,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A promise to repay the loan plus interest.,You can prevent your company from losing money.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,4,3,4,2,5,4,4,2,4,3,4,4,5,1,4,You and your teammates have to work together and compromise when you guys disagree. You cant have a successful company when people don't agree on anything. ,If your company has a lot of absent employees you have to take charge and get the work done no matter what the circumstances are....You have lazy people on your team that don't want to do anything? Great you still need to get the work done if you want to be successful in the buisness world  ,"Make sure you have a good willing, trustworthy team because you don't want to be doing all the work by yourself and the whole company relying on you. You'll want to make sure you have people you can rely on.",Keep track of it.If you don't you could be in a big mess of debt and no clue what to do. You won't know what you spent on and what you earned so keep good track of your money.,81
3384,12/19/2014 10:26,12/19/2014 10:46,United States,Mansfield,OH,44901,Mansfield,Ohio,7,,Male,Black/African-American,It earned more money in revenue than it spent on expenses,Just repay balance of the loan.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Cash on hand.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,3,5,5,3,4,3,4,4,5,4,3,4,2,2,3,When you are working with your teammates you might cross some agreements and disagreements with your group. Others might like you idea when you tell them what it is.,Being a good leader will make your group more successful. without a good leader your teammates might get in a fight.,Start a day with a positive attitude. Be on task and listen to the speaker. And follow directions.,Find a way to keep track of your money. Record everything you buy something,72
3385,12/19/2014 10:26,12/19/2014 10:47,United States,Mansfield,OH,44901,Mansfield ohio,Ohio,8,,Female,Black/African-American,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,3,4,5,4,4,4,4,4,5,4,4,4,4,4,4,I have learned that when your working with a team. Its important to stop and listen to other peoples ideas because they might have something important to contribute.,I have learned that when your the leader  of a team you have to set a good example for the rest of your teammates. By being respectful responsible and ready.,I would tell them that they should defintly do the program because its a great way to learn more about money and your always having fun.,I have learned that when your managing money its important that you keep a financial leger and record all of your trasnsactions recored. So that way you wont over spend your money.,90
3386,12/19/2014 10:27,12/19/2014 10:34,United States,Mansfield,OH,44901,Mansfield,Ohio,7,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,4,5,5,3,5,5,3,4,5,4,5,4,3,3,5,Teamwork is the key to success.,Leading the team in a right direction is the best way to make your money/profit.,To agree with his teammates and pitch in ideas to help out.,Keep an envelope for spending and for spending and don't go spending your money where it isn't needed.,81
3387,12/19/2014 10:27,12/19/2014 10:39,United States,Mansfield,OH,44901,Mansfield,Ohio,7,,Male,Other/Multi-Racial,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,A promise to repay the loan plus interest.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,"The cost of the supplies to make the product, including operating costs for the business.",,5,3,4,5,3,4,3,4,4,5,3,4,3,4,1,4,"Well, I've learned that teamwork is very important because when you are in a team every person has to work together to get the job done. If they team   don't work together, Its a big problem.","I've learned that leadership is important because if nobody takes charge, The job won't be done quicker, If somebody does take charge, you can get the job done faster.","Well, I would tell them to not slack around, get it done quickly, and well and to always work with the people in your group to get it done faster.","To be careful and always know how much you have, and how you will have for the purchases in the future.",63
3388,12/19/2014 10:27,12/19/2014 10:44,United States,Mansfield,OH,44901,Mansfield,Ohio,8,,Female,Caucasian,It sold all it's products,Give the bank shares of stock.,$8 ,A promise to repay the loan plus interest.,All of the above.,Taking out a loan from the venture capitalist.,Expenses x Revenue = Profit,Profit.,All of the above.,Promote the product to your customers.,All of the above.,,5,2,5,4,4,5,4,4,4,4,5,4,3,4,2,4,"That if you're in a team or doing group work, find new ideas and try not to disagree. If you do disagree, try to agree on something new. Help others in your team and participate.","If people are arguing or disagreeing, lead them both in different ways to help get that over with.","Good luck, and teamwork is important and its fun.","Its not real so don't take it seriously, but its fun to do/use because it prepares you for how it would really be in the real world if you owned a business/company.",27
3389,12/19/2014 10:27,12/19/2014 10:45,United States,Mansfield,OH,44901,Mansfield,Ohio,7,,Male,Other/Multi-Racial,It sold all it's products,Repay the balance of the loan and interest.,$4 ,A portion of company products and services.,All of the above.,Making a promise to pay back the venture capitalist.,Expenses x Revenue = Profit,Profit.,All of the above.,Decide how the product will look.,All of the above.,,4,4,3,5,5,5,5,5,3,5,5,5,5,4,5,5,That you have to work with everybody even if you dislike them and you have to listen to everybody hear them out and come to a decision when yall disagree on a idea or answer.,A leader is not a follower and a leader makes caution decisions and hears everybody out and handles what needs to be done a leader has people look up to him or her as a positive role model.,That its fun but learn everything you can now because it may help you later as an adult after you get in to high school and then graduate you can use that knowledge. ,"That you have to know how to add and subtract, and multiply and that you have to set up a college fund and etc there are steps that u have to take in managing money period whether its yours or somebody else's.",36
3390,12/19/2014 10:28,12/19/2014 10:41,United States,Mansfield,OH,44901,Mansfield,Ohio,7,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Just pay interest on the loan.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Decide how the product will look.,"The cost of the supplies to make the product, including operating costs for the business.",,4,3,3,4,4,4,4,3,4,5,4,5,4,3,3,4,that in the business world that finance is very important   ,that being a leader takes courage and motivating others to do work as a team and being confident is important ,To write in the ledger every day even if you don't use money ,money is active and that keeping your money in order is very important ,72
3391,12/19/2014 10:28,12/19/2014 10:46,United States,Mansfield,OH,44901,mansfeild,Ohio,7,,Male,Other/Multi-Racial,It earned the most revenue during sales,Repay the balance of the loan and interest.,$5 ,Shares of stock in the company and a vote in decision-making.,You can prevent your company from losing money.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Sell the product to your customers.,"The cost of the supplies to make the product, including operating costs for the business.",,4,2,4,5,2,4,4,3,3,5,4,3,3,2,4,3,I learned working  by your self is hard,if you listen to every one idea it might be a good idea,i don't know,Don't start wasting your money on stuff you don't need,36
3392,12/19/2014 10:29,12/19/2014 10:42,United States,Mansfield,OH,44901,mansfield,Ohio,7,,Male,Native American/Alaska Native,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Promote the product to your customers.,All of the above.,,4,3,4,5,5,5,4,4,4,5,5,4,4,4,4,5,with out team work your bissness will get no were,if you are a leader don't make every body else do every thing you need to help even if you are the boss,don't worry it not that hard if you have been listing to you teacher ,with out a save account you will never be able to save you will just keep spending and spending until you are broke ,81
3393,12/19/2014 10:29,12/19/2014 10:46,United States,Mansfield,OH,44901,Mansfield,Ohio,7,,Male,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Cash on hand.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,4,5,5,5,4,5,4,4,5,5,4,4,5,3,5,it help work thing out and talk about it stead of it. learn how to work with other and make money. and help me to get better to work in grope.,how to work money better how to run a busses how to work with people move then I us to,Never gave up all ways talk it out never shut some one out there ideal and it might help u out. it fun it help u out,To save and spend only what u need to and  use your money wisely,72
3394,12/19/2014 10:30,12/19/2014 10:47,United States,Mansfield,OH,44901,mansfeild,Ohio,7,,Female,Native American/Alaska Native,It earned the most revenue during sales,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Taking out a loan from the venture capitalist.,Expenses + Profit = Revenue,Cash on hand.,Make sure your company has the best commercial.,Sell the product to your customers.,"The cost of the supplies to make the product, including operating costs for the business.",,4,3,4,5,3,4,3,3,4,5,3,4,5,3,4,4,"That there are  no bad ideas  and, when we work in a team that just will show how we will do in the real world with a company of people.","That everyone has the right to speak, about the right or wrong thing in the group, the dumb ideas or the bad ideas ether way there are no bad ideas in leadership. ","Hi my name is Emily i am the VP of sales and we are making bracelets and what we are doing is trying to make a profit and revenue, and what will you be doing??.","That you have to be careful with your money every dollar counts and, you have to write down everything you buy to keep track of it.",27
3395,12/19/2014 10:30,12/19/2014 10:44,United States,Mansfield,OH,44901,mansfield,Ohio,7,,Female,Black/African-American,It sold all it's products,Repay the balance of the loan and interest.,$5 ,Decision-making power for product design.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Sell the product to your customers.,All of the above.,,4,3,3,4,3,3,3,3,2,5,4,3,4,3,4,3,I learned that when you work as a team you can get done fast ,I learned that leadership gets the team working and that it helps ,good advance help him/her out an get them through what were doing,I learned that you should watch how you spend your money,45
3396,12/19/2014 10:30,12/19/2014 10:39,United States,Mansfield,OH,44901,mansfield,Ohio,7,,Female,Black/African-American,It sold all it's products,Repay the balance of the loan and interest.,$8 ,A portion of company products and services.,All of the above.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,that you should always treat your team mates as you wont them to treat you and to help other team mates.,idk,you will do good if you listen and follow the rules .,idk,63
3397,12/19/2014 10:35,12/19/2014 10:44,United States,Mansfield,OH,44901,mansfield,Ohio,7,,Female,Caucasian,It earned the most revenue during sales,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,Demonstrate why your company and its products are special.,Promote the product to your customers.,All of the above.,,5,4,3,5,3,5,5,3,4,5,4,3,3,3,3,5,I learned about teamwork was that you need teamwork to get stuff done.,I learned that being a leader is important because without leadership you won't get stuff done correctly.,"I would give a new student advice about, staying on task, and concentrate.",I learned that it is important to manage money because you need money to buy stuff you need and that managing money is a good thing to do in the future.,63
3398,12/19/2014 10:34,12/19/2014 10:48,United States,Mansfield,OH,44901,mansfield,Ohio,7,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,A promise to repay the loan plus interest.,You will be able to calculate your company's profits.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Cash on hand.,Introduce your customers to your logo and slogan.,Promote the product to your customers.,"The cost of the supplies to make the product, including operating costs for the business.",,3,3,4,5,4,3,4,2,4,5,3,3,4,2,3,3,that even if you don't want to do something you have to no matter what,that leaders always have good ideas when we need them,that you should never give up in eny class no matter how hard the problem or job always stay strong,that you have to always keep track of your money,36
3399,12/19/2014 12:22,12/19/2014 12:44,United States,Salinas,CA,93901,Salinas,California,6,,Male,Hispanic,It didn't sell too many shares of stock to the venture capitalists,Repay the balance of the loan and interest.,$9 ,A promise to repay the loan plus interest.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Rent - Interest = Profit (or Loss),Profit.,Help increase sales of your product.,Decide how the product will look.,"The cost of the supplies to make the product, including operating costs for the business.",,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Work with your team mates and every thing is possible,It's hard having to be a leader but if you have time beign a leader its easy,work with your group and every thing is possible,money is hard to make so don't spend it,27
3400,12/19/2014 12:23,12/19/2014 12:35,United States,Salinas,CA,93901,Salinas,California,6,,Male,Decline to Respond,It sold all it's products,Just repay balance of the loan.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,5,5,5,4,4,5,4,5,4,4,4,4,5,3,4,"That if everyone works together,they can do things more easily.",That you need strong leadership to lead a company,To become friends with the workers,To make wise choices ,81
3406,12/19/2014 12:45,12/19/2014 13:11,United States,Salinas,CA,93901,salinas ca.,California,6,,Female,Other/Multi-Racial,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,A promise to repay the loan plus interest.,You will know how much money you spent on expenses.,Taking out a loan from the venture capitalist.,Expenses + Profit = Revenue,Profit.,Demonstrate why your company and its products are special.,Sell the product to your customers.,How popular the item/style might be.,,5,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,"i learned that it will help me in the real world,and it will help me get alonge with  others when im doing teamwork.",the things i learned about leadership is  you have to get along with others and you have to motivate other in your team,"the advice i would give to the new student is get along with the people around you,work hard,and try to not waste all the biz bucks",just let the finace do their job ,18
3407,12/19/2014 12:46,12/19/2014 12:53,United States,Salinas,CA,93901,salinas,California,6,,Female,Hispanic,It earned the most revenue during sales,Just repay balance of the loan.,$8 ,Shares of stock in the company and a vote in decision-making.,You will know how much money you spent on expenses.,Making a promise to pay back the venture capitalist.,Revenue - Expenses = Profit (or Loss),Revenue.,Help increase sales of your product.,Sell the product to your customers.,"The cost of the supplies to make the product, including operating costs for the business.",,2,3,4,3,1,4,3,2,1,3,5,3,3,3,1,4,if you work with your team its possible,hdfjrtjtyiyojoyohhoohoh,rkrkkgiiotototottt,jkkfkkyyoy,27
3408,12/19/2014 12:52,12/19/2014 13:09,United States,Salinas,CA,93901,salinas ca,California,6,,Male,Hispanic,It sold all it's products,Just pay interest on the loan.,$4 ,A promise to repay the loan plus interest.,You can prevent your company from losing money.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Revenue.,Demonstrate why your company and its products are special.,Make the product quickly and with limited waste.,The amount of time it took to make the product.,,5,1,3,5,2,3,3,3,2,4,4,4,4,4,3,3,you have too do team work , nothing,it is awsome,good,27
3409,12/19/2014 12:56,12/19/2014 13:05,United States,Salinas,CA,93901,salinas,California,6,,Male,Hispanic,It sold all it's products,Repay the balance of the loan and interest.,$8 ,Decision-making power for product design.,You will be able to calculate your company's profits.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Profit.,Demonstrate why your company and its products are special.,Promote the product to your customers.,"The cost of the supplies to make the product, including operating costs for the business.",,5,2,2,3,4,4,3,2,3,2,2,4,4,4,4,4,that you need to work together,that you need to tell your teamates to work and not to chit chat,to work together and not argue with each other,that you will remember this when you get a real job,18
3410,12/19/2014 12:55,12/19/2014 13:03,United States,Salinas,CA,93901,salinas,California,6,,Male,Native American/Alaska Native,It earned the most revenue during sales,Just repay balance of the loan.,$9 ,Shares of stock in the company and a vote in decision-making.,You can prevent your company from losing money.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,Demonstrate why your company and its products are special.,Promote the product to your customers.,How popular the item/style might be.,,3,2,1,4,4,4,3,4,2,4,2,3,4,3,1,2,we all work to gether ,its fun ,work hard,its hard to get money,45
3411,12/19/2014 13:01,12/19/2014 13:12,United States,,,,Oneals,California,8,,Male,Decline to Respond,It didn't sell too many shares of stock to the venture capitalists,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,You will be able to calculate your company's profits.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Profit.,Help increase sales of your product.,Promote the product to your customers.,The quality of the product.,,4,5,3,5,5,5,5,4,4,5,4,1,5,4,4,5,It is really important ,I have learned that it is really frustrating when people don't listen when I'm the manager ,Think about stuff,It's really boring and hard,27
3412,12/19/2014 13:01,12/19/2014 13:11,United States,Fresno,CA,93720,Oneals,California,8,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Just pay interest on the loan.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,5,5,4,5,4,5,5,4,5,5,4,4,5,4,5,"I have learned that creating a company takes hard work, money and time. You need to be ready for anything. You need to work with others so that your company will succeed.",That it is very important. And you need to have it if you want a successful company.,"Be prepared for anything, work well with your team, listen to new ideas, and just try your hardest.",Give it to someone who will be there all the time. Always keep track of how much you have. ,81
3413,12/19/2014 13:01,12/19/2014 13:12,United States,Fresno,CA,93720,O'neals,California,8,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Decide how the product will look.,All of the above.,,5,4,5,4,3,4,3,5,2,4,2,4,3,4,1,4,Nothing.,Not much,It's funish. You will know how to start a new business if you are going to when you get older.,To keep it safe.,72
3414,12/19/2014 13:01,12/19/2014 13:08,United States,Fresno,CA,93720,O'Neals,California,7,,Female,Caucasian,It sold all it's products,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Profit.,All of the above.,Decide how the product will look.,"The cost of the supplies to make the product, including operating costs for the business.",,4,4,2,3,3,5,5,5,4,3,5,5,5,4,1,4,that you need to think of all the posibabalites,"that, you have to encourage people ","work hard, and get stuff done ",that its really important ,45
3415,12/19/2014 13:01,12/19/2014 13:18,United States,Fresno,CA,93720,O'neals,California,8,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Promote the product to your customers.,All of the above.,,4,2,3,4,2,5,5,3,4,4,4,3,2,4,4,3,"I have learned that teamwork is very important for a company to work. If you are a very self centered person and work horribly with others, either the company will fail if you are rather important, or if your just one of the employes you will most likely get fired.",I have learned that leadership takes a lot of hard work and you have to be comfortable with other people. ,I would ale sure that the person is well prepared for their roll in Bizwold and if that person had any hard decisions to make I would do my best to help her/him make that decision.,Managing money is a big responsibility because if something happens to the money you would probably be held responsible. ,81
3416,12/19/2014 13:01,12/19/2014 13:10,United States,Fresno,CA,93720,O'Neals,California,8,,Male,Caucasian,It sold all it's products,Repay the balance of the loan and interest.,$8 ,Decision-making power for product design.,You can prevent your company from losing money.,Taking out a loan from the venture capitalist.,Revenue - Expenses = Profit (or Loss),Revenue.,Demonstrate why your company and its products are special.,Decide how the product will look.,How popular the item/style might be.,,4,3,3,5,4,4,4,4,5,1,4,4,5,4,1,4,We count money together ,I haven't learned any,Be sure to count money a lot,Keep it safe,27
3417,12/19/2014 13:01,12/19/2014 13:10,United States,Fresno,CA,93720,Oneals,California,7,,Male,Decline to Respond,It didn't sell too many shares of stock to the venture capitalists,Repay the balance of the loan and interest.,$4 ,A portion of company products and services.,You will be able to calculate your company's profits.,Making a promise to pay back the venture capitalist.,Revenue - Expenses = Profit (or Loss),Revenue.,Introduce your customers to your logo and slogan.,Make the product quickly and with limited waste.,"The cost of the supplies to make the product, including operating costs for the business.",,5,4,4,4,3,5,4,4,4,4,4,4,4,5,2,3,Nothing,Nothing,To put out your ideas ,Money is very important,36
3418,12/19/2014 13:02,12/19/2014 13:16,United States,Fresno,CA,93720,O'Neals,California,6,,Female,Caucasian,It earned the most revenue during sales,Repay the balance of the loan and interest.,$5 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Decide how the product will look.,All of the above.,,5,3,5,5,5,5,5,5,5,5,5,5,5,3,5,5,That you need to work together to make a good product ,That you need to make other people feel like they are good at making bracelets,That you have to have a good attitude even when you want to throw a brick at them.,Keep it close real close .,63
3419,12/19/2014 13:02,12/19/2014 13:10,United States,Fresno,CA,93720,O'neals,California,8,,Female,Other/Multi-Racial,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Profit.,All of the above.,Decide how the product will look.,All of the above.,,5,4,5,4,5,4,4,4,4,5,5,5,4,5,4,5,That we need to listen to everybody's opin on how something before we decide ,Work togwther,Make lots of braclets,To count your moeny,72
3421,12/19/2014 13:02,12/19/2014 13:13,United States,Woodside,NY,11377,O'Neals,California,7,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Just pay interest on the loan.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Profit.,All of the above.,Decide how the product will look.,All of the above.,,4,5,4,1,5,4,4,5,4,5,4,4,4,4,1,5,That I am a good leder ,That am awesome at it,Don't do it it's stressful ,Don't trust a loan ,54
3422,12/19/2014 13:01,12/19/2014 13:14,United States,Fresno,CA,93720,O'neals,California,7,,Female,Decline to Respond,It earned more money in revenue than it spent on expenses,Just repay balance of the loan.,$8 ,Shares of stock in the company and a vote in decision-making.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Profit.,All of the above.,Promote the product to your customers.,All of the above.,,4,4,4,3,3,4,5,4,4,4,4,5,3,5,4,4,Everyone needs to pitch  ,People depend on you ,Try your best,It's important  ,45
3423,12/19/2014 13:02,12/19/2014 13:13,United States,Fresno,CA,93720,O'Neals,California,8,,Male,Caucasian,It sold all it's products,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Revenue.,Introduce your customers to your logo and slogan.,Sell the product to your customers.,All of the above.,,4,2,3,3,4,4,1,4,3,3,4,4,4,4,1,2,its hard,its hard,its fun,its hard,54
3424,12/19/2014 13:03,12/19/2014 13:14,United States,Woodside,NY,11377,O'Neals,California,6,,Female,Other/Multi-Racial,It sold all it's products,Just repay balance of the loan.,$8 ,A portion of company products and services.,All of the above.,Making a promise to pay back the venture capitalist.,Expenses + Profit = Revenue,Profit.,Help increase sales of your product.,Decide how the product will look.,All of the above.,,4,5,4,5,4,5,5,5,4,5,5,3,4,5,5,5,that is you have team work you wont loose ,that it works to take charge ,don't trust a loan ,that you can lose money ,18
3425,12/19/2014 13:04,12/19/2014 13:14,United States,Fresno,CA,93720,Oneals,California,7,,Female,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Promote the product to your customers.,All of the above.,,4,4,4,4,5,3,5,3,3,5,4,3,3,5,4,5,That you can do nothing without people to help you down the road. ,"That you don't always have to be the leader but if people aren't doing their job, sometimes you have to take charge. ",Be ready for a lot of fun. ,That you should think of the consequences before you take out loans or sell shares of stock. Think. ,90
3426,12/19/2014 13:04,12/19/2014 13:15,United States,Fresno,CA,93720,Coarsegold,California,6,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Expenses x Revenue = Profit,Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,4,5,5,4,5,5,4,4,5,5,4,4,4,5,5,I learned that the team that won had good teamwork. Teamwork is a must in a company in our company it didn't seem like we had that.,In a group a CEO actually has a job to to. He has to take leadership in the group and lead the team in the things that need to be done.,I would say that you need teamwork to make a successful team. Also never overspend on string.,You have to manage your money. If you don't your company will eventually lose money.,72
3427,12/19/2014 13:04,12/19/2014 13:19,United States,Fresno,CA,93720,O'Neals,California,7,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,Introduce your customers to your logo and slogan.,Make the product quickly and with limited waste.,"The cost of the supplies to make the product, including operating costs for the business.",,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,3,That It is sometimes hard,No,I do not no what to say,Nothing ,63
3428,12/19/2014 13:04,12/19/2014 13:11,United States,Fresno,CA,93720,O'Neals,California,6,,Male,Hispanic,It sold all it's products,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Taking out a loan from the venture capitalist.,Expenses + Profit = Revenue,Capital.,Introduce your customers to your logo and slogan.,Promote the product to your customers.,All of the above.,,3,4,3,3,4,4,4,3,3,4,3,3,3,3,3,3,It's easy to work together,Not much,It's fun and hard,It's inportant ,36
3429,12/19/2014 13:04,12/19/2014 13:17,United States,Cullman,AL,35055,Coarse gold,California,7,,Male,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$5 ,Shares of stock in the company and a vote in decision-making.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Rent - Interest = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,"The cost of the supplies to make the product, including operating costs for the business.",,3,2,5,1,4,4,5,4,5,2,4,4,5,4,3,4,That some people are pains that you just have to get over ,Think long and hard and motivate people,Pay good attetion ,Keep track of it,63
3430,12/19/2014 13:04,12/19/2014 13:12,United States,Fresno,CA,93720,O'Neals,California,7,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,Demonstrate why your company and its products are special.,Decide how the product will look.,"The cost of the supplies to make the product, including operating costs for the business.",,4,5,4,4,5,4,5,4,4,4,4,4,4,4,3,4,Working together makes the best profit ,We're all in this together ,Have fun,Don't lose your money ,63
